transnational_regions,time,tp,realization
11,1995-07-01,32.280420522332946,0
11,1995-08-01,32.76105268004263,0
11,1995-09-01,63.72993511525633,0
11,1995-10-01,35.976860556839185,0
11,1995-11-01,92.01960129198963,0
11,1995-12-01,147.87013556214174,0
11,1996-01-01,169.3475698219428,0
11,1996-02-01,79.96441541213238,0
11,1996-03-01,57.10570944444683,0
11,1996-04-01,55.3963200564295,0
11,1996-05-01,87.15826156259348,0
11,1996-06-01,28.784789685291948,0
11,1996-07-01,33.5094364873785,0
11,1996-08-01,49.997884577816855,0
11,1996-09-01,61.70115942957976,0
11,1996-10-01,48.12539386712201,0
11,1996-11-01,117.02866388159136,0
11,1996-12-01,157.785618775216,0
11,1997-01-01,110.14597639226113,0
11,1997-02-01,22.07411464890337,0
11,1997-03-01,5.367115497025363,0
11,1997-04-01,45.916703392675274,0
11,1997-05-01,95.34111076511093,0
11,1997-06-01,79.56589162659805,0
11,1997-07-01,49.425321482001074,0
11,1997-08-01,62.67186147357442,0
11,1997-09-01,44.80913199419976,0
11,1997-10-01,62.442962681054055,0
11,1997-11-01,160.57511376278848,0
11,1997-12-01,126.07911021926111,0
11,1998-01-01,67.13785312176248,0
11,1998-02-01,36.03364197218515,0
11,1998-03-01,34.09834332701981,0
11,1998-04-01,110.65445838200048,0
11,1998-05-01,84.73590075063869,0
11,1998-06-01,36.342925868966404,0
11,1998-07-01,23.670933985033702,0
11,1998-08-01,25.12558351955206,0
11,1998-09-01,81.35388941301272,0
11,1998-10-01,48.348838435226426,0
11,1998-11-01,46.276355842016656,0
11,1998-12-01,54.74039857995702,0
11,1999-01-01,59.63243759510958,0
11,1999-02-01,41.68840279188346,0
11,1999-03-01,63.041188894552015,0
11,1999-04-01,67.05432465133623,0
11,1999-05-01,76.13132789815522,0
11,1999-06-01,32.293484420995846,0
11,1999-07-01,35.101530061783656,0
11,1999-08-01,38.867946098787876,0
11,1999-09-01,97.26622961505299,0
11,1999-10-01,113.74200551060314,0
11,1999-11-01,58.210550552264955,0
11,1999-12-01,75.0942540623459,0
11,2000-01-01,23.44923303815454,0
11,2000-02-01,27.67544172399709,0
11,2000-03-01,40.599474704223574,0
11,2000-04-01,132.00919244886023,0
11,2000-05-01,74.81524717651854,0
11,2000-06-01,38.90875172403443,0
11,2000-07-01,34.842589079659895,0
11,2000-08-01,31.590571485040705,0
11,2000-09-01,39.437175478618244,0
11,2000-10-01,86.96769939340265,0
11,2000-11-01,125.41352095046426,0
