time,axis_nbounds,lat,lon,time_bounds,pr
2081-07-16 12:00:00,0.5,40.56338,-2.5,2081-07-16 12:00:00,4.3610922e-05
2082-04-16 00:00:00,0.5,40.56338,-2.5,2082-04-16 00:00:00,9.885039e-06
2082-05-16 12:00:00,0.5,40.56338,-2.5,2082-05-16 12:00:00,9.104978e-05
2082-06-16 00:00:00,0.5,40.56338,-2.5,2082-06-16 00:00:00,4.830607e-05
2082-07-16 12:00:00,0.5,40.56338,-2.5,2082-07-16 12:00:00,3.4196968e-05
2083-04-16 00:00:00,0.5,40.56338,-2.5,2083-04-16 00:00:00,1.539862e-05
2083-05-16 12:00:00,0.5,40.56338,-2.5,2083-05-16 12:00:00,2.8401037e-06
2083-06-16 00:00:00,0.5,40.56338,-2.5,2083-06-16 00:00:00,3.6485417e-05
2083-07-16 12:00:00,0.5,40.56338,-2.5,2083-07-16 12:00:00,4.9891205e-05
2084-04-16 00:00:00,0.5,40.56338,-2.5,2084-04-16 00:00:00,2.6104502e-05
2084-05-16 12:00:00,0.5,40.56338,-2.5,2084-05-16 12:00:00,3.663847e-05
2084-06-16 00:00:00,0.5,40.56338,-2.5,2084-06-16 00:00:00,6.1391205e-05
2084-07-16 12:00:00,0.5,40.56338,-2.5,2084-07-16 12:00:00,4.35175e-05
2085-04-16 00:00:00,0.5,40.56338,-2.5,2085-04-16 00:00:00,1.3692866e-05
2085-05-16 12:00:00,0.5,40.56338,-2.5,2085-05-16 12:00:00,2.8406825e-05
2085-06-16 00:00:00,0.5,40.56338,-2.5,2085-06-16 00:00:00,4.75255e-05
2085-07-16 12:00:00,0.5,40.56338,-2.5,2085-07-16 12:00:00,2.4071705e-05
